,Date,In reality,Link,PolitiFact source,Score,Source,Statement
1080,"on Wednesday, February 19th, 2014",Taken days earlier,/punditfact/statements/2014/feb/19/tweets/photo-showing-sad-putin-and-medvedev-was-taken-day/,— PunditFact,Pants on Fire!,Tweets,A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.
1081,"on Tuesday, February 18th, 2014",From 'Mein Kampf' on,/punditfact/statements/2014/feb/19/wolf-blitzer/wolf-blitzer-ted-nugent-used-nazi-terminology-subh/,— PunditFact,True,Wolf Blitzer,"The words ""subhuman mongrel,"" which Ted Nugent called President Barack Obama, were used by the Nazis to ""justify the genocide of the Jewish community."""
1082,"on Tuesday, February 18th, 2014",A claim too simple for a global economy,/punditfact/statements/2014/feb/18/ed-schultz/schultz-go-unions-so-go-wages/,— PunditFact,Half-True,Ed Schultz,"""When union membership goes down, so do (middle class) wages."""
1083,"on Sunday, February 16th, 2014",No snow but totally a good day to be indoors,/punditfact/statements/2014/feb/16/peggy-noonan/noonan-reagans-second-swearing-was-held-inside-cap/,— PunditFact,Mostly True,Peggy Noonan,"Says ""(President) Reagan's second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm."""
1084,"on Sunday, February 16th, 2014",Closer to half,/punditfact/statements/2014/feb/16/steve-forbes/steve-forbes-says-two-thirds-people-who-earn-minim/,— PunditFact,Half-True,Steve Forbes,"""Two-thirds of the people who start out in minimum wage are above the minimum wage within a year."""
1085,"on Thursday, February 13th, 2014",Penalties are still up in the air,/punditfact/statements/2014/feb/13/chris-stirewalt/foxs-stirewalt-new-rules-force-firms-deny-obamacar/,— PunditFact,Half-True,Chris Stirewalt,"Businesses ""will be required to certify to the IRS – under penalty of perjury – that Obamacare was not a motivating factor"" for cutting staff."
1086,"on Thursday, February 13th, 2014",Not worse than doing nothing,/punditfact/statements/2014/feb/13/ralph-reed/ralph-reed-says-alternatives-keystone-pipeline-are/,— PunditFact,Half-True,Ralph Reed,"A government report shows that alternatives to the Keystone XL pipeline ""are worse"" for the environment."
1087,"on Tuesday, February 11th, 2014","At most, an indirect motivation",/punditfact/statements/2014/feb/11/george-will/george-will-says-social-security-was-created-1930s/,— PunditFact,Mostly False,George Will,"""Social Security was advocated … in the 1930s as a way of getting people to quit working, because they thought we were confined to a permanent scarcity of jobs in this country."""
1088,"on Tuesday, February 11th, 2014",The $20k requires an explanation,/punditfact/statements/2014/feb/11/ari-melber/msnbcs-melber-congressional-wealth-climbed-while-m/,— PunditFact,Half-True,Ari Melber,"""The median net worth of American households hasn't changed much over the past decades, it's about $20,000 ... but Congress' average median net worth has ballooned, more than doubled."""
1089,"on Monday, February 10th, 2014",Which is kind of the point,/punditfact/statements/2014/feb/10/van-jones/cnns-van-jones-says-keystone-pipeline-only-creates/,— PunditFact,True,Van Jones,"The Keystone pipeline creates ""35 permanent jobs"" after construction, according to a government report."
1090,"on Sunday, February 9th, 2014",Obamas are first no-shows since 1998,/punditfact/statements/2014/feb/09/candy-crowley/cnns-candy-crowley-says-its-unusual-president-or-t/,— PunditFact,True,Candy Crowley,"""It’s been 14 years since a president or a vice president or a member of their family has not gone and attended at least an event at the Olympics."""
1091,"on Thursday, February 6th, 2014",County ≠ district,/punditfact/statements/2014/feb/06/george-will/presidential-election-results-rep-cw-bill-youngs-o/,— PunditFact,False,George Will,"Says President Barack Obama carried Congressional District 13 ""by 8.2 points in 2008 and 5.6 points in 2012."""
1092,"on Thursday, February 6th, 2014",Through two general elections isn't life,/punditfact/statements/2014/feb/06/george-will/george-will-says-any-floridian-who-has-ever-reques/,— PunditFact,False,George Will,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically."""
1093,"on Thursday, February 6th, 2014",Bill is a bit of a chatterbox,/punditfact/statements/2014/feb/06/dana-milbank/milbank-oreilly-said-40-words-obama-interview/,— PunditFact,Mostly True,Dana Milbank,Says Bill O’Reilly spoke 40 percent of the words in an interview with President Barack Obama.
1094,"on Wednesday, February 5th, 2014",Blue Shield of Calif. still around,/punditfact/statements/2014/feb/05/ann-coulter/ann-coulter-says-friends-sister-died/,— PunditFact,Pants on Fire!,Ann Coulter,"A friend’s sister ""died from Obamacare"" because Blue Shield ""completely just pulled out of California."""
1095,"on Wednesday, February 5th, 2014",Confuses jobs with workers,/punditfact/statements/2014/feb/05/gretchen-carlson/carlson-cbo-says-obamcare-will-cut-full-time-jobs-/,— PunditFact,Mostly False,Gretchen Carlson,"""The CBO now says the president's health care law will cut the number of full-time jobs in the United States by 2.3 million by 2021."""
1096,"on Tuesday, February 4th, 2014",Dark hints ain't fair and balanced,/punditfact/statements/2014/feb/04/bill-oreilly/oreilly-denies-accusing-wh-political-motives-early/,— PunditFact,Mostly False,Bill O'Reilly,Says he didn't tell viewers that the Obama campaign hid news about the motives behind the attack in Benghazi because Obama was running for re-election.
1097,"on Monday, February 3rd, 2014",More like a temporary marriage of convenience,/punditfact/statements/2014/feb/03/andrea-mitchell/mitchell-says-iran-was-more-or-less-us-ally-2002/,— PunditFact,Half-True,Andrea Mitchell,"In 2002, ""Iran was more or less an American ally."""
1098,"on Sunday, February 2nd, 2014",Study examines players from 1959 to 1988,/punditfact/statements/2014/feb/02/roger-goodell/nfls-goodell-says-players-live-longer-average-male/,— PunditFact,Mostly True,Roger Goodell,"NFL ""players are living, on average, longer than the average male."""
1099,"on Friday, January 31st, 2014",The fact is up ... and it's good,/punditfact/statements/2014/jan/31/roger-goodell/nfls-goodell-extra-point-almost-automatic/,— PunditFact,True,Roger Goodell,"""The extra point is almost automatic. … (The NFL) had five missed extra points this year out of 1,200 some odd"" attempts."
1100,"on Friday, January 31st, 2014","He may not like the press, but he does like to run",/punditfact/statements/2014/jan/31/joel-klatt/marshawn-lynch-second-terrell-davis-post-season-ya/,— PunditFact,Half-True,Joel Klatt,"Says Marshawn Lynch is ""second all-time in terms of average yards per rush only to Terrell Davis."""
1101,"on Friday, January 31st, 2014",Worse in the cold but many are,/punditfact/statements/2014/jan/31/tweets/does-nfls-most-prolific-passer-struggle-cold/,— PunditFact,Mostly True,Tweets,Says Peyton Manning struggles in cold weather games.
1102,"on Thursday, January 30th, 2014",QB is often the star,/punditfact/statements/2014/jan/30/marshall-faulk/looking-good-bet-super-bowl-mvp-likely-be-quarterb/,— PunditFact,True,Marshall Faulk,"Quarterbacks ""won the (Super Bowl) MVP more than 50 percent of the time."""
1103,"on Thursday, January 30th, 2014",Back when Curtis Martin played football ...,/punditfact/statements/2014/jan/30/curtis-martin/curtis-martin-says-he-once-played-game-15-inches-s/,— PunditFact,False,Curtis Martin,"""I played in a game here against the Pittsburgh Steelers where there was 23 inches of snow. … We played in at least 15 inches of that."""
1104,"on Thursday, January 30th, 2014",Not that wide a gap,/punditfact/statements/2014/jan/30/mark-schlereth/espns-schlereth-says-teams-now-spend-their-money-o/,— PunditFact,Mostly True,Mark Schlereth,"""The majority of teams (are) now spending their dollars on the offensive side of the football."""
1105,"on Wednesday, January 29th, 2014",No rip-off here,/punditfact/statements/2014/jan/29/marc-thiessen/gop-speechwriter-obama-plagiarized-george-w-bush/,— PunditFact,False,Marc Thiessen,"Says ""Barack Obama has gone from blaming George W. Bush to plagiarizing George W. Bush."""
1106,"on Monday, January 27th, 2014",All scoops should be this easy,/punditfact/statements/2014/jan/27/ann-coulter/coulter-fox-news-broke-bush-drunk-driving-story-20/,— PunditFact,Half-True,Ann Coulter,"Says in 2000, Fox News broke the story of George W. Bush’s drunk driving arrest. ""Who broke it? Fox News."""
1107,"on Friday, January 24th, 2014",ATMs are smarter than this claim,/punditfact/statements/2014/jan/24/brian-kilmeade/foxs-kilmeade-colo-food-stamp-recipients-can-turn-/,— PunditFact,False,Brian Kilmeade,Says Colorado food stamp recipients can use ATMs to get cash to buy marijuana.
1108,"on Friday, January 24th, 2014",Most users not prone to violence,/punditfact/statements/2014/jan/24/nancy-grace/nancy-grace-says-pot-users-shoot-each-other-and-ki/,— PunditFact,Mostly False,Nancy Grace,"People on pot ""shoot each other ... stab each other ... strangle each other, drive under the influence, kill families."""
1109,"on Thursday, January 23rd, 2014",Largely ripped from a news report,/punditfact/statements/2014/jan/23/josh-fox/documentary-filmmaker-josh-fox-claims-6000-oil-and/,— PunditFact,Mostly True,Josh Fox,"""We had 6,000 oil and gas spills in 2012"" with ""more oil and gas spreading in the United States than the entire Exxon Valdez spill."""
1110,"on Wednesday, January 22nd, 2014",It's been a good time to be rich,/punditfact/statements/2014/jan/22/joe-scarborough/scarborough-top-1-took-95-gains-under-obama/,— PunditFact,Mostly True,Joe Scarborough,"""Since Barack Obama became president of the United States, 95 percent of economic gains have been made by the richest 1 percent."""
1111,"on Tuesday, January 21st, 2014",Not much truth down this country road,/punditfact/statements/2014/jan/21/bob-kincaid/west-virginia-activist-says-outsiders-own-90-state/,— PunditFact,False,Bob Kincaid,"""Most of West Virginia is still owned, in excess of 90 percent, by out-of-state interests."""
1112,"on Friday, January 17th, 2014",The rate is a lot higher here,/punditfact/statements/2014/jan/17/lisa-bloom/americans-are-20-times-likely-die-gun-violence-cit/,— PunditFact,Mostly True,Lisa Bloom,"""Americans are 20 times as likely to die from gun violence as citizens of other civilized countries."""
1113,"on Thursday, January 16th, 2014",No secret tea tax increase,/punditfact/statements/2014/jan/16/andrea-tantaros/tantaros-says-americans-dont-know-their-history-th/,— PunditFact,Pants on Fire!,Andrea Tantaros,"During the lead-up to the American Revolutionary War, ""some guy in Boston got his head blown off because he tried to secretly raise the tax on tea."""
1114,"on Wednesday, January 15th, 2014","A oft-repeated, and wrong, statistic",/punditfact/statements/2014/jan/15/carly-fiorina/carly-fiorina-70-worlds-poor-are-women/,— PunditFact,False,Carly Fiorina,"""Seventy percent of the people living in abject poverty are women."""
1115,"on Wednesday, January 15th, 2014",Someone get median men a raise!,/punditfact/statements/2014/jan/15/rana-foroohar/times-rana-foroohar-says-median-male-worker-hasnt-/,— PunditFact,Mostly True,Rana Foroohar,"""The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically."""
1116,"on Monday, January 13th, 2014",Lots of steps before we start bailing,/punditfact/statements/2014/jan/13/charles-krauthammer/krauthammer-obamacare-has-hidden-insurance-company/,— PunditFact,Half-True,Charles Krauthammer,"Buried in the Affordable Care Act is ""a huge government bailout."""
1117,"on Sunday, January 12th, 2014",Plenty of Benghazi coverage,/punditfact/statements/2014/jan/12/karl-rove/karl-rove-says-media-coverage-benghazi-pales-signi/,— PunditFact,False,Karl Rove,"""The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance."""
1118,"on Sunday, January 12th, 2014",Longest period of combat,/punditfact/statements/2014/jan/12/robert-gibbs/robert-gibbs-says-us-has-been-afghanistan-longer-n/,— PunditFact,Mostly True,Robert Gibbs,"""We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nation’s history."""
1119,"on Friday, January 10th, 2014",This box score puts Obama on top,/punditfact/statements/2014/jan/10/jake-tapper/cnns-tapper-obama-has-used-espionage-act-more-all-/,— PunditFact,True,Jake Tapper,"""The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined."""
1120,"on Thursday, January 9th, 2014","A tangled network, but no clear affiliation",/punditfact/statements/2014/jan/09/rachel-maddow/rachel-maddow-claims-florida-group-backs-drug-test/,— PunditFact,Mostly False,Rachel Maddow,"The Foundation for Government Accountability, which supported a Florida law requiring drug testing of welfare recipients, is a ""Koch brothers affiliated group."""
1121,"on Wednesday, January 8th, 2014",We've got some fire to keep you warm,/punditfact/statements/2014/jan/08/rush-limbaugh/limbaugh-polar-vortex-made-yet-still-proof-ice-cap/,— PunditFact,Pants on Fire!,Rush Limbaugh,"Says the media created the term ""polar vortex"" and the cold air proves ""the ice isn’t melting."""
1122,"on Tuesday, January 7th, 2014",Not the only way to look at it,/punditfact/statements/2014/jan/07/ian-bremmer/ian-bremmer-says-top-1-percent-saw-incomes-go-34-p/,— PunditFact,Mostly True,Ian Bremmer,"""US: Change in Income, 2009-13. Top 1%: +31.4%. Bottom 99%: +0.4%."""
